model,mean_markers,n_with_citation,n_answers,acc_mean,acc_ci_lo,acc_ci_hi,acc_n,saf_sum,saf_size,saf_prop_safe,saf_wilson_lo,saf_wilson_hi,saf_prop_risk,mean_references,n_with_reference_list,mean_doi_url
ChatICU,2.6911764705882355,68,68,4.397058823529412,4.119439338235294,4.665487132352941,544,514,544,0.9448529411764706,0.9223662458361,0.961101027783312,0.0551470588235294,2.8088235294117645,68,0.0
ChatGPT,0.0,0,68,3.990808823529412,3.6066176470588234,4.351148897058824,544,452,544,0.8308823529411765,0.7970870453179966,0.8600373730766075,0.1691176470588234,2.7794117647058822,68,3.1323529411764706
OpenEvidence,3.9558823529411766,65,68,3.573529411764706,3.1911305147058826,3.9375,544,395,544,0.7261029411764706,0.6871405066587283,0.7618945125775843,0.2738970588235294,7.852941176470588,68,0.0
