domain,friedman_chi2,friedman_p,n_questions,wilcoxon_holm_ChatICU_vs_ChatGPT,wilcoxon_holm_ChatICU_vs_OpenEvidence,wilcoxon_holm_ChatGPT_vs_OpenEvidence,rank_order
Accuracy,68.5725490196078,1.287241922740986e-15,68,1.6580168349310683e-07,2.527972179655828e-11,5.72508830580569e-07,ChatICU > ChatGPT > OpenEvidence
Relevance,75.5669291338582,3.898071774083824e-17,68,1.241672682939057e-06,1.4331555402913728e-11,3.7649691574387375e-08,ChatICU > ChatGPT > OpenEvidence
Clarity,72.50806451612905,1.799176805181998e-16,68,5.703906912590449e-06,1.7674949141676018e-11,3.1400375156378796e-06,ChatICU > ChatGPT > OpenEvidence
Trust,69.53526970954358,7.95441112383218e-16,68,2.1189718133093512e-08,1.3137384301859175e-10,6.319905114421519e-06,ChatICU > ChatGPT > OpenEvidence
Comparison,63.20318725099594,1.8862631006529838e-14,68,0.0005986292580635572,9.115526384121012e-11,6.035021631339606e-07,ChatICU > ChatGPT > OpenEvidence
Confidence,42.9194312796208,4.788107742867795e-10,68,8.371237762929365e-07,1.8235046119385187e-07,0.08914047790422133,ChatICU > ChatGPT > OpenEvidence
